[2026-09-04 18:49:38] Code: 4001 | Message: Error: 404 Not Found | Details: {"exception":"404 Not Founden no se encontro la ruta \/Administrar"} | User: 309309 | IP: 127.0.0.1
[2026-09-04 18:49:39] Code: 4001 | Message: Error: 404 Not Found | Details: {"exception":"404 Not Founden no se encontro la ruta \/Administrar"} | User: 309309 | IP: 127.0.0.1
[2026-09-04 18:49:45] Code: 4001 | Message: Error: 404 Not Found | Details: {"exception":"404 Not Founden no se encontro la ruta \/Administrar"} | User: 309309 | IP: 127.0.0.1
[2026-09-04 18:49:46] Code: 4001 | Message: Error: 404 Not Found | Details: {"exception":"404 Not Founden no se encontro la ruta \/Administrar"} | User: 309309 | IP: 127.0.0.1
[2026-09-04 18:49:46] Code: 4001 | Message: Error: 404 Not Found | Details: {"exception":"404 Not Founden no se encontro la ruta \/Administrar"} | User: 309309 | IP: 127.0.0.1
[2026-09-04 18:49:47] Code: 4001 | Message: Error: 404 Not Found | Details: {"exception":"404 Not Founden no se encontro la ruta \/Administrar"} | User: 309309 | IP: 127.0.0.1
[2026-09-04 18:49:48] Code: 4001 | Message: Error: 404 Not Found | Details: {"exception":"404 Not Founden no se encontro la ruta \/Administrar"} | User: 309309 | IP: 127.0.0.1
[2026-09-04 18:49:48] Code: 4001 | Message: Error: 404 Not Found | Details: {"exception":"404 Not Founden no se encontro la ruta \/Administrar"} | User: 309309 | IP: 127.0.0.1
[2026-09-04 18:49:49] Code: 4001 | Message: Error: 404 Not Found | Details: {"exception":"404 Not Founden no se encontro la ruta \/Administrar"} | User: 309309 | IP: 127.0.0.1
[2026-09-04 18:49:50] Code: 4001 | Message: Error: 404 Not Found | Details: {"exception":"404 Not Founden no se encontro la ruta \/Administrar"} | User: 309309 | IP: 127.0.0.1
[2026-09-04 18:49:50] Code: 4001 | Message: Error: 404 Not Found | Details: {"exception":"404 Not Founden no se encontro la ruta \/Administrar"} | User: 309309 | IP: 127.0.0.1
[2026-09-04 18:49:51] Code: 4001 | Message: Error: 404 Not Found | Details: {"exception":"404 Not Founden no se encontro la ruta \/Administrar"} | User: 309309 | IP: 127.0.0.1
[2026-09-04 18:49:52] Code: 4001 | Message: Error: 404 Not Found | Details: {"exception":"404 Not Founden no se encontro la ruta \/Administrar"} | User: 309309 | IP: 127.0.0.1
[2026-09-24 19:27:04] Code: 5000 | Message: Error interno del servidor | Details: {"exception":"Liki\\Routing\\Ruta::group(): Argument #2 ($condicion) must be of type bool, array given, called in \/data\/data\/com.github.ziracms.pocketphp\/files\/liki\/index.php on line 18"} | User: guest | IP: unknown
[2026-09-24 19:27:21] Code: 5000 | Message: Error interno del servidor | Details: {"exception":"Liki\\Routing\\Ruta::group(): Argument #2 ($condicion) must be of type bool, array given, called in \/data\/data\/com.github.ziracms.pocketphp\/files\/liki\/index.php on line 18"} | User: guest | IP: 127.0.0.1
[2026-09-24 19:27:46] Code: 5000 | Message: Error interno del servidor | Details: {"exception":"Expection no existe el archivo usuarios.php en la ruta \/data\/data\/com.github.ziracms.pocketphp\/files\/liki\/backend\/Clases\/app\/Modelos\/usuarios.php"} | User: guest | IP: 127.0.0.1
[2026-09-24 19:28:15] Code: 5000 | Message: Error interno del servidor | Details: {"exception":"Expection no existe el archivo usuario.php en la ruta \/data\/data\/com.github.ziracms.pocketphp\/files\/liki\/backend\/Clases\/app\/Modelos\/usuario.php"} | User: guest | IP: 127.0.0.1
[2026-09-24 19:28:57] Code: 5000 | Message: Error interno del servidor | Details: {"exception":"Liki\\Database\\FlowDB::head(): Return value must be of type bool, array returned"} | User: guest | IP: 127.0.0.1
[2026-09-24 19:31:02] Code: 5000 | Message: Error interno del servidor | Details: {"exception":"Liki\\Database\\FlowDB::head(): Return value must be of type bool, array returned"} | User: guest | IP: 127.0.0.1
[2026-09-24 19:31:54] Code: 5000 | Message: Error interno del servidor | Details: {"exception":"Liki\\Database\\FlowDB::head(): Return value must be of type bool, array returned"} | User: guest | IP: 127.0.0.1
[2026-09-24 19:32:33] Code: 5000 | Message: Error interno del servidor | Details: {"exception":"Liki\\Database\\FlowDB::head(): Return value must be of type bool, array returned"} | User: guest | IP: 127.0.0.1
